DELRIDGE WAY SW,SW TRENTON ST,South Delridge
YESLER WAY,8TH AVE,Yesler Terrace
140TH AVE NE,NE 60TH ST,Green Lake
FACTORIA BLVD SE,SE 38TH ST,Mount Baker
E MADISON ST,14TH AVE,Minor
26TH AVE S,S NORMAN ST,Leschi
S GENESEE ST,CASCADIA AVE S,Mount Baker
CALIFORNIA AVE SW,SW OTHELLO ST,Gatewood
SYLVAN WAY SW,SW SYLVAN HEIGHTS DR,High Point
NE RAVENNA BLVD,21ST AVE NE,University District
5TH AVE S,S KENYON ST,South Park
34TH AVE,E PIKE ST,Madrona
1ST AVE N,MERCER ST,Lower Queen Anne
AIRPT WAY S,S EDMUNDS ST,Industrial District
5TH AVE NE,NE 125TH ST,Pinehurst
NE 65TH ST,49TH AVE NE,View Ridge
LOYAL AVE NW,GOLDEN GDNS DR NW,North Beach/Blue Ridge
SW 100TH ST,41ST AVE SW,Arbor Heights
S OTHELLO ST,42ND AVE S,Brighton
S JACKSON ST,2ND AVE S,Pioneer Square
SAND PT WAY NE,NE 106TH ST,Matthews Beach
8TH AVE S,S SOUTHERN ST,South Park
5TH AVE N,MERCER ST,Lower Queen Anne
E ALOHA ST,BROADWAY E,Broadway
CONDON WAY W,W CROCKETT ST,Southeast Magnolia
MERIDIAN AVE N,ROOSEVELT WAY N,Haller Lake
28TH AVE W,W BERTONA ST,Lawton Park
9TH AVE,CHERRY ST,First Hill
NE 128TH ST,120TH AVE NE,Victory Heights
34TH AVE W,W EMERSON ST,Lawton Park
NE 50TH ST,19TH AVE NE,University District
E YESLER WAY,22ND AVE S,Minor
BELLEVUE WAY NE,MAIN ST,Pioneer Square
WILLOWS RD NE,NE 124TH ST,Pinehurst
32ND AVE NW,NW 62ND ST,Adams
S 348TH ST,6TH AVE S,Georgetown
FACTORIA BLVD SE,SE 42ND ST,Seward Park
EAST MONTLAKE PL E,E ROANOKE ST,Montlake
AIRPT WAY S,CORSON AVE S,Mid-Beacon Hill
19TH AVE E,E JOHN ST,Stevens
N 45TH ST,WALLINGFORD AVE N,Wallingford
2ND AVE NE,NE 42ND ST,Wallingford
SE BLK NUGGET RD,SE 62ND ST,Rainier Beach
14TH AVE S,S HENDERSON ST,South Park
RAINIER AVE S,S GENESEE ST,Mount Baker
SE FAIRWOOD BLVD,140TH AVE SE,Haller Lake
UNION AVE NE,NE 3RD CT,Central Business District
NE 75TH ST,18TH AVE NE,Roosevelt
RAINIER AVE S,S HOLDEN ST,Brighton
1ST AVE S,S 140TH ST,Broadview
SENECA ST,6TH AVE,First Hill
55TH AVE NE,NE 73RD ST,View Ridge
2ND AVE,PIKE ST,Central Business District
NW 65TH ST,DIVISION AVE NW,Phinney Ridge
Northgate TC AcRd,NE 100th St,Maple Leaf
15TH AVE E,E JOHN CT,Stevens
BEACH DR SW,SW JACOBSEN RD,Alki
LKVIEW BLVD E,HARVARD AVE E,Montlake
EASTLAKE AVE E,E LOUISA ST,Eastlake
COAL CREEK PKWY SE,SE 76TH ST,Rainier Beach
MADISON ST,BOREN AVE,First Hill
5TH AVE N,VALLEY ST,Lower Queen Anne
8TH AVE NW,NW 46TH ST,West Woodland
N 85TH ST,WALLINGFORD AVE N,North College Park
W MERCER WAY,SE 28TH ST,Stevens
25TH AVE NE,NE 60TH ST,Ravenna
VIRGINIA ST,6TH AVE,Belltown
47TH AVE NE,NE 38TH ST,Laurelhurst
32ND AVE NW,NW MARKET ST,Adams
DENNY WAY,WARREN PL,Lower Queen Anne
S GENESEE ST,50TH AVE S,Seward Park
PRESTON FALL CITY RD,SE 47TH ST,University District
BROADWAY,TERRACE ST,Yesler Terrace
S GENESEE ST,37TH AVE S,Mount Baker
FAIRVIEW AVE N,MINOR AVE N,South Lake Union
UNION ST,6TH AVE,Central Business District
4TH AVE S,S JACKSON ST,International District
NE 8TH ST,118TH AVE NE,Broadview
