Route,Part,Express/ Local,Inbound / Outbound,KeyBl,StTime,EndTime,Start of Route,End of Route,Load Factor,Average Load,Riders Per Revenue Hour,Revenue Miles,Revenue Hours,Seats on Bus,Bus Type,Day,Peak or Off Peak,1-Factor Fully Allocated Cost,Redundancy,,,,,,,OBJECTID ,District,Count_Stops,,,,,,,,,
,,,,,,,,,,,,# of Miles a bus is running in service,# of Hours a bus is running in service,,See Fleet Tab,,,,,,,,,,,1,Adams,33,Route #,Redundancy,,,,,,,
1,,,I,102, 5:40 AM, 5:54 AM,10W FLTN,3   CDAR,0.36,15.00,64.00,2.799432,0.23,42,41,WK,O,142.92,2,,,,,,,2,Alki,66,1,2,,,,,,,
1,,,I,101, 6:10 AM, 6:24 AM,10W FLTN,3   CDAR,0.52,22.00,103.00,2.799432,0.23,42,41,WK,P,142.92,2,,,,,,,3,Arbor Heights,28,2,2,,,,,,,
1,,,I,103, 6:40 AM, 6:54 AM,10W FLTN,3   CDAR,0.62,26.00,120.00,2.799432,0.23,42,41,WK,P,142.92,2,,,,,,,4,Atlantic,52,3,9,,,,,,,
1,,,I,105, 7:00 AM, 7:15 AM,10W FLTN,3   CDAR,0.88,37.00,160.00,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,5,Belltown,95,4,9,,,,,,,
1,,,I,104, 7:15 AM, 7:30 AM,10W FLTN,3   CDAR,0.71,30.00,120.00,2.799432,0.25,42,41,WK,P,142.92,2,,,,,,,6,Bitter Lake,32,5,2,,,,,,,
1,,,I,106, 7:30 AM, 7:46 AM,10W FLTN,3   CDAR,0.88,37.00,150.00,2.799432,0.27,42,41,WK,P,142.92,2,,,,,,,7,Briarcliff,29,6,2,,,,,,,
1,,,I,102, 7:45 AM, 8:17 AM,10W FLTN,5S  JAXN,0.74,31.00,69.00,4.46572,0.53,42,41,WK,P,142.92,2,,,,,,,8,Brighton,27,8,2,,,,,,,
1,,,I,107, 8:01 AM, 8:17 AM,10W FLTN,3   CDAR,1.07,45.00,184.00,2.799432,0.27,42,41,WK,P,142.92,2,,,,,,,9,Broadview,35,9,2,,,,,,,
1,,,I,108, 8:24 AM, 8:40 AM,10W FLTN,3   CDAR,1.00,42.00,161.00,2.799432,0.27,42,41,WK,P,142.92,2,,,,,,,10,Broadway,75,10,1,,Bus Type,Length,Fuel,Fleet #,Floor,1-Factor Fully Allocated Cost
