,"Percentage Early, On Time, and Late, Oct 2012 - May 2013 by Route and Day",,,,,,,,,,
,,,,,,,,,,,
,Days,Rte,E/L,% Late,% Early,%OnTime,,,,,
1L,M-F,1,L,20%,5%,75%,,,,,
2L,M-F,2,L,19%,3%,78%,,,,,
3L,M-F,3,L,18%,6%,76%,,,,,
4L,M-F,4,L,18%,5%,77%,,,,,
5E,M-F,5,E,11%,2%,88%,,,,,
5L,M-F,5,L,15%,5%,79%,,,,,
7E,M-F,7,E,16%,2%,82%,,,,,
7L,M-F,7,L,16%,8%,76%,,,,,
8L,M-F,8,L,27%,2%,70%,,,,,
9E,M-F,9,E,19%,1%,80%,,,,,
10L,M-F,10,L,17%,2%,81%,,,,,
11L,M-F,11,L,23%,4%,73%,,,,,
12L,M-F,12,L,14%,6%,80%,,,,,
13L,M-F,13,L,16%,2%,82%,,,,,
14L,M-F,14,L,24%,2%,73%,,,,,
15E,M-F,15,E,15%,3%,82%,,,,,
16L,M-F,16,L,24%,5%,71%,,,,,
17E,M-F,17,E,31%,0%,68%,,,,,
18E,M-F,18,E,20%,1%,79%,,,,,
19L,M-F,19,L,19%,4%,77%,,,,,
21E,M-F,21,E,26%,0%,73%,,,,,
21L,M-F,21,L,13%,5%,81%,,,,,
22L,M-F,22,L,6%,2%,92%,,,,,
24L,M-F,24,L,28%,2%,69%,,,,,
25L,M-F,25,L,26%,6%,68%,,,,,
26E,M-F,26,E,10%,0%,90%,,,,,
26L,M-F,26,L,21%,3%,76%,,,,,
27L,M-F,27,L,21%,5%,74%,,,,,
28E,M-F,28,E,20%,0%,80%,,,,,
28L,M-F,28,L,26%,2%,73%,,,,,
29L,M-F,29,L,26%,2%,72%,,,,,
30L,M-F,30,L,3%,7%,90%,,,,,
31L,M-F,31,L,24%,1%,75%,,,,,
32L,M-F,32,L,21%,3%,77%,,,46%,,
33L,M-F,33,L,20%,3%,77%,,,,,
36L,M-F,36,L,15%,5%,80%,,,,,
37L,M-F,37,L,16%,6%,78%,,,,,
40L,M-F,40,L,19%,9%,72%,,,,,
41L,M-F,41,L,22%,1%,76%,,,,,
42L,M-F,42,L,12%,5%,84%,,,,,
43L,M-F,43,L,12%,7%,81%,,,,,
44L,M-F,44,L,11%,7%,82%,,,,,
47L,M-F,47,L,10%,6%,85%,,,,,
48E,M-F,48,E,11%,0%,89%,,,,,
48L,M-F,48,L,20%,4%,77%,,,,,
49L,M-F,49,L,14%,6%,79%,,,,,
50L,M-F,50,L,16%,7%,77%,,,,,
55L,M-F,55,L,28%,8%,64%,,,,,
56E,M-F,56,E,28%,0%,71%,,,,,
57L,M-F,57,L,37%,0%,63%,,,,,
60L,M-F,60,L,16%,5%,80%,,,,,
61L,M-F,61,L,12%,6%,82%,,,,,
62L,M-F,62,L,17%,5%,78%,,,,,
64E,M-F,64,E,20%,4%,76%,,,,,
65L,M-F,65,L,14%,2%,84%,,,,,
