Zone#,Period,InOut,Rte,Express or Local,OnsObs,OffsObs,Dir,OnStreet,Inter,CrossStreet
25,PM,O,113,L,5,0,E,BLANCHARD ST,FS,1ST AVE
60,XEV,I,10,L,0,0,S,1ST AVE,FS,UNION ST
60,XNT,I,10,L,0,0,S,1ST AVE,FS,UNION ST
70,XEV,I,10,L,0,0,S,1ST AVE,FS,SENECA ST
70,XNT,I,10,L,0,2,S,1ST AVE,FS,SENECA ST
130,AM,O,99,L,5,1,N,1ST AVE S,FS,S JACKSON ST
130,MID,O,99,L,3,0,N,1ST AVE S,FS,S JACKSON ST
130,PM,O,99,L,20,0,N,1ST AVE S,FS,S JACKSON ST
150,AM,O,99,L,7,0,N,1ST AVE,FS,YESLER WAY
150,MID,O,99,L,2,0,N,1ST AVE,FS,YESLER WAY
150,PM,O,99,L,11,0,N,1ST AVE,FS,YESLER WAY
170,AM,O,99,L,17,6,N,1ST AVE,FS,MARION ST
170,MID,O,99,L,2,2,N,1ST AVE,FS,MARION ST
170,PM,O,99,L,13,3,N,1ST AVE,FS,MARION ST
180,AM,O,99,L,1,2,N,1ST AVE,NS,SENECA ST
180,MID,O,99,L,1,0,N,1ST AVE,NS,SENECA ST
180,PM,O,99,L,4,1,N,1ST AVE,NS,SENECA ST
185,AAM,I,56,E,0,12,E,SENECA ST,NS,3RD AVE
185,AAM,I,120,L,0,28,E,SENECA ST,NS,3RD AVE
185,AAM,I,673,L,0,42,E,SENECA ST,NS,3RD AVE
185,AAM,O,674,L,3,0,E,SENECA ST,NS,3RD AVE
185,AM,I,21,E,6,229,E,SENECA ST,NS,3RD AVE
185,AM,I,55,L,3,154,E,SENECA ST,NS,3RD AVE
185,AM,I,56,E,3,149,E,SENECA ST,NS,3RD AVE
185,AM,I,57,L,2,91,E,SENECA ST,NS,3RD AVE
185,AM,I,120,L,7,339,E,SENECA ST,NS,3RD AVE
185,AM,I,673,L,1,519,E,SENECA ST,NS,3RD AVE
185,AM,O,674,L,61,1,E,SENECA ST,NS,3RD AVE
185,MID,I,21,E,0,16,E,SENECA ST,NS,3RD AVE
185,MID,I,56,E,1,19,E,SENECA ST,NS,3RD AVE
185,MID,I,120,L,3,286,E,SENECA ST,NS,3RD AVE
185,MID,I,673,L,2,413,E,SENECA ST,NS,3RD AVE
185,MID,O,674,L,65,0,E,SENECA ST,NS,3RD AVE
185,PM,I,120,L,2,96,E,SENECA ST,NS,3RD AVE
185,PM,I,673,L,0,121,E,SENECA ST,NS,3RD AVE
185,PM,O,674,L,114,0,E,SENECA ST,NS,3RD AVE
185,XEV,I,120,L,0,30,E,SENECA ST,NS,3RD AVE
