Zone#,StopSeq,Period,SignRt,Part,Express or Local,Inbound or Outbound,OnStreet,CrossStreet,Intersection,Direction,,,,,,
82780,,AM,887,,E,I,,,,,,,,,,
84260,,AM,887,,E,I,,,,,,,,,,
82735,,AM,887,,E,I,,,,,,,,,,
82730,,AM,887,,E,I,,,,,,,,,,
68674,,AM,887,,E,I,,,,,,,,,,
68676,,AM,887,,E,I,,,,,,,,,,
68672,,AM,887,,E,I,,,,,,,,,,
67939,,AM,887,,E,I,,,,,,,,,,
67938,,AM,887,,E,I,,,,,,,,,,
67925,,AM,887,,E,I,,,,,,,,,,
67935,,AM,887,,E,I,,,,,,,,,,
64045,,AM,887,,E,I,,,,,,,,,,
65476,,AM,887,,E,I,,,,,,,,,,
65630,,AM,887,,E,I,,,,,,,,,,
64790,,AM,887,,E,I,,,,,,,,,,
64835,,AM,887,,E,I,,,,,,,,,,
64802,,AM,887,,E,I,,,,,,,,,,
64800,,AM,887,,E,I,,,,,,,,,,
64830,,AM,887,,E,I,,,,,,,,,,
65250,,AM,887,,E,I,,,,,,,,,,
65266,,AM,887,,E,I,,,,,,,,,,
64877,,AM,887,,E,I,,,,,,,,,,
74155,,AM,887,,E,I,,,,,,,,,,
70814,,AM,887,,E,I,,,,,,,,,,
80334,,AM,887,,E,I,,,,,,,,,,
80332,,AM,887,,E,I,,,,,,,,,,
79900,,AM,887,,E,I,,,,,,,,,,
79890,,AM,887,,E,I,,,,,,,,,,
80565,,AM,887,,E,I,,,,,,,,CROSS_STRE,ON_STREET,S_HOOD
8402,0.01,MID,48,,E,O,Mt. Baker Transfer A,Martin L King Jr Way,FS,W,,,,59th Ave S,Beacon Ave S,Rainier View
8429,0.02,MID,48,,E,O,RAINIER AVE S,S BAYVIEW ST,FS,N,,,,S Wallace St,59th Ave S,Rainier View
8440,0.03,MID,48,,E,O,RAINIER AVE S,S WALKER ST,FS,N,,,,S 118th St,59th Ave S,Rainier View
36730,0.04,MID,48,,E,O,23RD AVE S,S PLUM ST,FS,N,,,,56th Ave S,Beacon Ave S,Rainier View
36750,0.05,MID,48,,E,O,23RD AVE S,S MASSACHUSETTS ST,FS,N,,,,S 116th St,Cornell Ave S,Rainier View
36776,0.06,MID,48,,E,O,23RD AVE S,S JUDKINS ST,FS,N,,,,S 115th St,Cornell Ave S,Rainier View
36780,0.07,MID,48,,E,O,23RD AVE S,S NORMAN ST,FS,N,,,,S Augusta St,Beacon Ave S,Rainier View
12530,0.08,MID,48,,E,O,23RD AVE S,S DEARBORN ST,FS,N,,,,S Augusta St,59th Ave S,Rainier View
12550,0.09,MID,48,,E,O,23RD AVE S,S JACKSON ST,FS,N,,,,SW Ocean View Dr,Marine View Dr SW,Arbor Heights
53332,0.1,AAM,114,,L,I,UNION AVE SE,SE 2ND PL,NS,S,,,,Cornell Ave S,S 114th St,Rainier View
16132,0.1,AM,342,,L,I,N 192ND ST,AURORA AVE N,NS,E,,,,59th Ave S,S Avon St,Rainier View
53332,0.1,AM,114,,L,I,UNION AVE SE,SE 2ND PL,NS,S,,,,Cornell Ave S,S 114th St,Rainier View
12560,0.1,MID,48,,E,O,23RD AVE,E YESLER WAY,FS,N,,,,37th Ave SW,35th Ave SW,Arbor Heights
36791,0.11,MID,48,,E,O,23RD AVE,E JEFFERSON ST,FS,N,,,,S Avon St,56th Ave S,Rainier View
36800,0.12,MID,48,,E,O,23RD AVE,E CHERRY ST,FS,N,,,,S Avon St,Beacon Ave S,Rainier View
36810,0.13,MID,48,,E,O,23RD AVE,E MARION ST,FS,N,,,,SW Ocean View Dr,Marine View Dr SW,Arbor Heights
36820,0.14,MID,48,,E,O,23RD AVE,E SPRING ST,FS,N,,,,56th Ave S,S Leo St,Rainier View
36830,0.15,MID,48,,E,O,23RD AVE,E UNION ST,FS,N,,,,55th Ave S,S Leo St,Rainier View
36840,0.16,MID,48,,E,O,23RD AVE,E PINE ST,FS,N,,,,53rd Ave S,S Leo St,Rainier View
36845,0.17,MID,48,,E,O,23RD AVE,E OLIVE ST,FS,N,,,,S Leo St,Beacon Ave S,Rainier View
35825,0.18,MID,48,,E,O,23RD AVE E,E JOHN ST,FS,N,,,,Beacon Ave S,S Leo St,Rainier View
29278,0.19,MID,48,,E,O,23RD AVE E,E REPUBLICAN ST,FS,N,,,,SW 114th St,35th Ave SW,Arbor Heights
53333,0.2,AAM,114,,L,I,UNION AVE SE,SE 3RD PL,FS,S,,,,S Fountain Pl,Renton Ave S,Rainier View
53333,0.2,AM,114,,L,I,UNION AVE SE,SE 3RD PL,FS,S,,,,S Fountain St,Renton Ave S,Rainier View
29279,0.2,MID,48,,E,O,23RD AVE E,E ROY ST,FS,N,,,,SW 112th St,35th Ave SW,Arbor Heights
29280,0.21,MID,48,,E,O,23RD AVE E,E ALOHA ST,FS,N,,,,SW 112th St,Marine View Dr SW,Arbor Heights
29300,0.22,MID,48,,E,O,24TH AVE E,E PROSPECT ST,FS,N,,,,S Hazel St,Renton Ave S,Rainier View
29320,0.23,MID,48,,E,O,24TH AVE E,E GALER ST,FS,N,,,,S Hazel St,51st Ave S,Rainier View
29340,0.24,MID,48,,E,O,24TH AVE E,BOYER AVE E,NS,N,,,,S Hazel St,Renton Ave S,Rainier View
29350,0.25,MID,48,,E,O,24TH AVE E,E NEWTON ST,FS,N,,,,S Bangor St,Renton Ave S,Rainier View
29361,0.26,MID,48,,E,O,24TH AVE E,E MCGRAW ST,NS,N,,,,SW 110th St,35th Ave SW,Arbor Heights
29380,0.27,MID,48,,E,O,EAST MONTLAKE PL E,E ROANOKE ST,NS,N,,,,SW 110th St,Marine View Dr SW,Arbor Heights
25751,0.28,MID,48,,E,O,MONTLAKE BLVD E,SR 520,NS,N,,,,S Bangor St,Renton Ave S,Rainier Beach
53334,0.3,AAM,114,,L,I,SE 4TH ST,SE 4TH PL,FS,E,,,,S Creston St,51st Ave S,Rainier Beach
53334,0.3,AM,114,,L,I,SE 4TH ST,SE 4TH PL,FS,E,,,,SW 108th St,35th Ave SW,Arbor Heights
53336,0.4,AAM,114,,L,I,SE 4TH ST,ANACORTES AVE SE,FS,E,,,,64th Ave S,S Prentice St,Rainier Beach
53336,0.4,AM,114,,L,I,SE 4TH ST,ANACORTES AVE SE,FS,E,,,,S Prentice St,Renton Ave S,Rainier Beach
53338,0.5,AAM,114,,L,I,SE 4TH ST,CHELAN AVE SE,NS,E,,,,Marine View Dr SW,39th Ave SW,Arbor Heights
53338,0.5,AM,114,,L,I,SE 4TH ST,CHELAN AVE SE,NS,E,,,,S Prentice St,Renton Ave S,Rainier Beach
53442,0.6,AAM,114,,L,I,CHELAN AVE SE,SE 2ND PL,OP,N,,,,S Prentice St,62nd Ave S,Rainier Beach
53442,0.6,AM,114,,L,I,CHELAN AVE SE,SE 2ND PL,OP,N,,,,S Ryan St,Renton Ave S,Rainier Beach
53444,0.7,AAM,114,,L,I,SE 2ND PL,BREMERTON AVE SE,FS,W,,,,S Ryan St,64th Ave S,Rainier Beach
53444,0.7,AM,114,,L,I,SE 2ND PL,BREMERTON AVE SE,FS,W,,,,S Ryan St,Renton Ave S,Rainier Beach
53446,0.8,AAM,114,,L,I,SE 2ND PL,UNION AVE SE,NS,W,,,,39th Ave SW,SW 106th St,Arbor Heights
53446,0.8,AM,114,,L,I,SE 2ND PL,UNION AVE SE,NS,W,,,,S Ryan St,51st Ave S,Rainier Beach
99022,1,AAM,674,,L,I,NW 100TH PL,8TH AVE NW,FS,E,,,,41st Ave SW,SW 106th St,Arbor Heights
85796,1,AAM,215,,L,I,MAIN AVE S,W PARK ST,FS,S,,,,California Ave SW,SW 106th St,Arbor Heights
85630,1,AAM,241,,L,I,108th Ave NE,NE 6th St,NS,S,,,,SW 106th St,35th Ave SW,Arbor Heights
85630,1,AAM,240,,L,I,108th Ave NE,NE 6th St,NS,S,,,,S Ryan St,51st Ave S,Rainier Beach
85070,1,AAM,22,,L,I,26TH AVE SW,SW ROXBURY ST,FS,S,,,,Victor St,Renton Ave S,Rainier Beach
83751,1,AAM,177,,L,I,FedWay/S 320th St P&,25th Ave S,NS,W,,,,S Victor St,Renton Ave S,Rainier Beach
83751,1,AAM,193,,E,I,FedWay/S 320th St P&,25th Ave S,NS,W,,,,S Cooper St,62nd Ave S,Rainier Beach
85223,1,AAM,347,,L,I,Mntlake Terrace P&R ,236th St SW,NS,S,,,,S Cooper St,64th Ave S,Rainier Beach
85170,1,AAM,113,,L,I,26TH AVE SW,SW 116TH ST,FS,N,,,,SW 104th St,Marine View Dr SW,Fauntleroy
99300,1,AAM,102,,L,I,RENTON MAPLE VALL RD,131ST AVE SE,FS,E,,,,SW 104th St,35th Ave SW,Arbor Heights
61999,1,AAM,182,,L,I,49TH AVE NE,42ND ST NE,FS,N,,,,57th Ave S,Renton Ave S,Rainier Beach
62079,1,AAM,168,,L,I,SE 264TH ST,242ND AVE SE,NS,E,,,,57th Ave S,Renton Ave S,Rainier Beach
60161,1,AAM,148,,L,I,SE 177TH ST,140TH AVE SE,NM,W,,,,S Gazelle St,51st Ave S,Rainier Beach
