Mt. Baker Transfer A,Martin L King Jr Way
RAINIER AVE S,S BAYVIEW ST
RAINIER AVE S,S WALKER ST
23RD AVE S,S PLUM ST
23RD AVE S,S MASSACHUSETTS ST
23RD AVE S,S JUDKINS ST
23RD AVE S,S NORMAN ST
23RD AVE S,S DEARBORN ST
23RD AVE S,S JACKSON ST
UNION AVE SE,SE 2ND PL
N 192ND ST,AURORA AVE N
UNION AVE SE,SE 2ND PL
23RD AVE,E YESLER WAY
23RD AVE,E JEFFERSON ST
23RD AVE,E CHERRY ST
23RD AVE,E MARION ST
23RD AVE,E SPRING ST
23RD AVE,E UNION ST
23RD AVE,E PINE ST
23RD AVE,E OLIVE ST
23RD AVE E,E JOHN ST
23RD AVE E,E REPUBLICAN ST
UNION AVE SE,SE 3RD PL
UNION AVE SE,SE 3RD PL
23RD AVE E,E ROY ST
23RD AVE E,E ALOHA ST
24TH AVE E,E PROSPECT ST
24TH AVE E,E GALER ST
24TH AVE E,BOYER AVE E
24TH AVE E,E NEWTON ST
24TH AVE E,E MCGRAW ST
EAST MONTLAKE PL E,E ROANOKE ST
MONTLAKE BLVD E,SR 520
SE 4TH ST,SE 4TH PL
SE 4TH ST,SE 4TH PL
SE 4TH ST,ANACORTES AVE SE
SE 4TH ST,ANACORTES AVE SE
SE 4TH ST,CHELAN AVE SE
SE 4TH ST,CHELAN AVE SE
CHELAN AVE SE,SE 2ND PL
CHELAN AVE SE,SE 2ND PL
SE 2ND PL,BREMERTON AVE SE
SE 2ND PL,BREMERTON AVE SE
SE 2ND PL,UNION AVE SE
SE 2ND PL,UNION AVE SE
NW 100TH PL,8TH AVE NW
MAIN AVE S,W PARK ST
108th Ave NE,NE 6th St
108th Ave NE,NE 6th St
26TH AVE SW,SW ROXBURY ST
FedWay/S 320th St P&,25th Ave S
FedWay/S 320th St P&,25th Ave S
Mntlake Terrace P&R ,236th St SW
26TH AVE SW,SW 116TH ST
RENTON MAPLE VALL RD,131ST AVE SE
49TH AVE NE,42ND ST NE
SE 264TH ST,242ND AVE SE
SE 177TH ST,140TH AVE SE
ANDOVER PARK W,BAKER BLVD
SE 320TH ST,122ND AVE SE
