124TH AVE NE & NE 90TH ST
DELRIDGE WAY SW & SW TRENTON ST
YESLER WAY & 8TH AVE
SE 320TH ST & 116TH AVE SE
140TH AVE NE & NE 60TH ST
FACTORIA BLVD SE & SE 38TH ST
NE 8TH ST & 164TH AVE NE
E MADISON ST & 14TH AVE
26TH AVE S & S NORMAN ST
18TH AVE & MARKET ST
NE 104TH ST & 179TH AVE NE
S GENESEE ST & CASCADIA AVE S
CALIFORNIA AVE SW & SW OTHELLO ST
SE 268TH ST & 164TH AVE SE
SE 272ND ST & 204TH AVE SE
WOODINVILLE DR & KAYSNER WAY
4TH AVE SW & SW 114TH ST
1ST AVE S & S 356TH ST
53RD AVE S & KLICKITAT DR
AVONDALE WAY NE & NE REDMOND WAY
108TH AVE NE & NE 58TH ST
BELLEVUE WAY NE & NE 12TH ST
SYLVAN WAY SW & SW SYLVAN HEIGHTS DR
148TH AVE NE & NE 16TH ST
NE RAVENNA BLVD & 21ST AVE NE
5TH AVE S & S KENYON ST
34TH AVE & E PIKE ST
1ST AVE N & MERCER ST
AIRPT WAY S & S EDMUNDS ST
S Sammamish P&R AcRd & 228th Ave SE
SE 263RD ST & 144TH AVE SE
5TH AVE NE & NE 125TH ST
NE 65TH ST & 49TH AVE NE
LOYAL AVE NW & GOLDEN GDNS DR NW
SW 100TH ST & 41ST AVE SW
S OTHELLO ST & 42ND AVE S
SE 37TH ST & I-90
116TH AVE NE & NE 34TH ST
ALKI AVE SW & 1000 BLK
SE 264TH ST & 174TH AVE SE
MARINE VIEW DR S & S 242ND ST
SE REDMOND FALL CITY & 337TH PL SE
SW 356TH ST & 14TH AVE SW
NE 203RD PL & NE 201ST PL
108TH AVE SE & SE 186TH ST
TUKWILA INTL BLVD & S 144TH ST
SE 436TH ST & 228TH AVE SE
S JACKSON ST & 2ND AVE S
S CARR RD & SMITHERS AVE S
120TH AVE NE & NE 85TH ST
DES MOINES MEMORI DR & S 138TH ST
SAND PT WAY NE & NE 106TH ST
SE 70TH PL & 92ND AVE SE
NW 200TH ST & 2ND AVE NW
8TH AVE S & S SOUTHERN ST
5TH AVE N & MERCER ST
NE 132ND ST & 108TH AVE NE
DES MOINES MEMORI DR & S 132ND ST
78TH AVE SE & SE 40TH ST
RENTON MAPLE VALL RD & CEDAR GROVE RD SE
E ALOHA ST & BROADWAY E
NE 36TH ST & 150TH AVE NE
CONDON WAY W & W CROCKETT ST
MERIDIAN AVE N & ROOSEVELT WAY N
28TH AVE W & W BERTONA ST
104TH AVE SE & SE 27TH ST
9TH AVE & CHERRY ST
NE 128TH ST & 120TH AVE NE
34TH AVE W & W EMERSON ST
LK YOUNGS WAY SE & KIRKLAND CT SE
NE 50TH ST & 19TH AVE NE
E YESLER WAY & 22ND AVE S
SE 240TH ST & 112TH AVE SE
BELLEVUE WAY NE & MAIN ST
WILLOWS RD NE & NE 124TH ST
32ND AVE NW & NW 62ND ST
DEXTER AVE N & 4TH AVE N
S 348TH ST & 6TH AVE S
FACTORIA BLVD SE & SE 42ND ST
EAST MONTLAKE PL E & E ROANOKE ST
1ST AVE S & S 168TH ST
AIRPT WAY S & CORSON AVE S
19TH AVE E & E JOHN ST
108TH AVE SE & SE 220TH PL
N 155TH ST & ASHWORTH AVE N
POINTS DR NE & 92ND AVE NE
N 45TH ST & WALLINGFORD AVE N
2ND AVE NE & NE 42ND ST
SE BLK NUGGET RD & SE 62ND ST
KIRKLAND AVE NE & NE 16TH ST
14TH AVE S & S HENDERSON ST
155TH AVE SE & SE 175TH PL
RAINIER AVE S & S GENESEE ST
AURORA AVE N & N 155TH ST
SE FAIRWOOD BLVD & 140TH AVE SE
UNION AVE NE & NE 3RD CT
140TH AVE NE & NE 55TH ST
BELLEVUE WAY NE & NE 30TH PL
SE 176TH ST & 110TH AVE SE
NE 75TH ST & 18TH AVE NE
GLENDALE WAY S & DES MOINES MEMORI DR
RAINIER AVE S & S HOLDEN ST
INTERURBAN AVE S & 58TH AVE S
DES MOINES MEMORI DR & S 202ND ST
140TH WAY SE & SE 158TH ST
1ST AVE S & S 140TH ST
SENECA ST & 6TH AVE
55TH AVE NE & NE 73RD ST
2ND AVE & PIKE ST
N MERCER WAY & 76TH AVE SE
NW 65TH ST & DIVISION AVE NW
124TH AVE NE & NE 146TH PL
Northgate TC AcRd & NE 100th St
S 336TH ST & 10TH PL S
15TH AVE E & E JOHN CT
BEACH DR SW & SW JACOBSEN RD
NE 10TH ST & 116TH AVE NE
LKVIEW BLVD E & HARVARD AVE E
STRANDER BLVD & 61ST PL S
17TH ST SE & K ST SE
SW 320TH ST & 3RD PL SW
SE 8TH ST & I-405
S 146TH ST & 8TH AVE S
EASTLAKE AVE E & E LOUISA ST
COAL CREEK PKWY SE & SE 76TH ST
2ND AVE SE & SE EVANS ST
ISLAND CREST WAY & SE 61ST ST
152nd Ave NE & Overlake P&R AcRd
SE FAIRWOOD BLVD & SE 168TH ST
MADISON ST & BOREN AVE
SE NEWPORT WAY & 151ST AVE SE
MILITARY RD S & S 244TH ST
24TH AVE S & S 226TH ST
51ST AVE S & S 170TH ST
5TH AVE N & VALLEY ST
8TH AVE NW & NW 46TH ST
N 85TH ST & WALLINGFORD AVE N
W MERCER WAY & SE 28TH ST
25TH AVE NE & NE 60TH ST
VIRGINIA ST & 6TH AVE
SE 60TH ST & 119TH AVE SE
47TH AVE NE & NE 38TH ST
32ND AVE NW & NW MARKET ST
CENTRAL AVE N & E MEEKER ST
DENNY WAY & WARREN PL
SE 256TH ST & 113TH AVE SE
S GENESEE ST & 50TH AVE S
PRESTON FALL CITY RD & SE 47TH ST
NE 27TH ST & ABERDEEN AVE NE
BROADWAY & TERRACE ST
NE 116TH ST & 114TH DR NE
S GENESEE ST & 37TH AVE S
FAIRVIEW AVE N & MINOR AVE N
UNION ST & 6TH AVE
3RD ST & 5TH AVE
4TH AVE S & S JACKSON ST
NE 8TH ST & 118TH AVE NE
SEWARD PK AVE S & LKSHORE DR S
NE 4TH ST & ROSARIO AVE NE
WATERS AVE S & S CARVER ST
126TH AVE SE & SE 164TH ST
WEST VALLEY HWY & S LONGACRES WAY
161ST AVE SE & SE 176TH PL
MILITARY RD S & S 264TH ST
N 40TH ST & CORLISS AVE N
SE 168TH ST & 122ND AVE SE
SAND PT WAY NE & NE 120TH ST
86TH AVE SE & SE 45TH ST
PINE ST & 2ND AVE
156TH AVE NE & NE 1ST ST
N 43RD ST & FREMONT AVE N
BEACON AVE S & S ORCAS ST
S 272ND ST & S STAR LK RD
NE 80TH ST & 20TH AVE NE
NW 85TH ST & 12TH AVE NW
NE 132ND ST & 84TH AVE NE
MARTIN L KING JR WAY & S THISTLE ST
RAINIER AVE S & ML KING JR WAY WAY S
ANDOVER PARK W & MINKLER BLVD
NE 4TH ST & 105TH AVE NE
MERIDIAN AVE N & N 193RD ST
NE 70TH ST & 126TH AVE NE
140TH AVE NE & NE 40TH ST
PARK AVE N & N 2ND ST
NE 112TH ST & 120TH AVE NE
UNIVERSITY WAY NE & NE 50TH ST
24TH AVE E & E NEWTON ST
15TH AVE NE & NE 95TH ST
WEST VALLEY HWY & 37TH ST NW
WEST LK SAMMAMISH PK & 192ND AVE SE
8TH AVE NW & NW 60TH ST
S 2ND ST & SHATTUCK AVE S
BLANCHARD ST & 4TH AVE
AVONDALE RD NE & NE UNION HILL RD
E VALLEY HWY & S 180TH ST
SE 36TH ST & 14000 BLOCK
24TH AVE NW & NW 83RD ST
GREENWOOD AVE N & N 76TH ST
CENTRAL AVE S & E RUSSELL ST
PACIFIC HWY S & 23600 BLOCK
23RD AVE E & E THOMAS ST
