ROOSEVELT WAY NE & NE 45TH ST
N 35TH ST & CARR PL N
AIRPT WAY S & S VALE ST
S 146TH ST & 5TH AVE S
KENT KANGLEY RD & 124TH AVE SE
25TH AVE NE & NE 75TH ST
SE 272ND ST & SE WAX RD
8TH AVE S & DES MOINES MEMORI DR
124TH AVE SE & SE 211TH ST
STEVENS WAY & OKANOGAN LN
2ND AVE & STEWART ST
3RD AVE & PIKE ST
SW ADMIRAL WAY & 51ST AVE SW
AUBURN WAY N & 22ND ST NE
E DENNY WAY & BELLEVUE AVE E
AIR CARGO RD & S 156TH ST
THACKERAY PL NE & NE 45TH ST
KENT KANGLEY RD & 116TH AVE SE
PRESTON FALL CITY RD & CARMICHAEL RD
NW MARKET ST & BALLARD AVE NW
34TH AVE & E CHERRY ST
132ND AVE NE & NE 50TH ST
5TH AVE NE & NE 103RD ST
49TH AVE SW & SW STEVENS ST
WOODINVILLE SNOHO RD & 139TH AVE NE
35TH AVE NE & NE 81ST ST
NE 155TH PL & 76TH PL NE
DES MOINES MEMORI DR & S 134TH ST
E YESLER WAY & 14TH AVE
W VALLEY HWY N & 26TH ST NW
MARTIN L KING JR WAY & S MASSACHUSETTS ST
BLANCHARD ST & 1ST AVE
RAINIER AVE S & S EDMUNDS ST
LATONA AVE NE & NE 56TH ST
NE 65TH ST & 12TH AVE NE
W MERCER WAY & SE 85TH ST
NE 4TH ST & JEFFERSON AVE NE
WOODINVILLE REDMO RD & NE 109TH ST
EDMONDS AVE NE & NE 18TH ST
QUEEN ANNE AVE N & W MCGRAW ST
NE 109TH ST & 159TH AVE NE
NE 141ST ST & 75TH AVE NE
WALLINGFORD AVE N & N 39TH ST
SE 27TH ST & SE 26TH PL
N 175TH ST & MIDVALE AVE N
PHINNEY AVE N & N 67TH ST
119TH AVE SE & SE 54TH PL
NE 125TH ST & LK CITY WAY NE
23RD AVE & E YESLER WAY
Woodinville P&R AcRd & NE 179th St
SW ORCHARD ST & DELRIDGE WAY SW
RENTON AVE EXT & HARDIE AVE NW
148TH AVE NE & NE 87TH ST
Pioneer Sq Sta AcRd & Pedestrian Walk
BELLEVUE WAY NE & NE 26TH ST
NE 8TH ST & 165TH AVE NE
E YESLER WAY & 32ND AVE
MARINE VIEW DR S & S 240TH ST
142ND PL SE & SE 32ND ST
BELLEVUE REDMOND RD & 130TH AVE NE
TIMBERLANE WAY SE & SE 265TH ST
134TH AVE NE & NE 40TH ST
JAMES ST & 4TH AVE
Aurora Village TC Ac & Ashworth Ave N
W NORTH BEND WAY & SYDNEY AVE S
MERIDIAN AVE N & N 156TH PL
WOODLAWN AVE NE & 1ST AVE NE
WESTLAKE AVE N & MERCER ST
1ST AVE NE & NE 80TH ST
CENTRAL AVE S & E MEEKER ST
CALIFORNIA AVE SW & SW FONTANELLE ST
S 115TH PL & 84TH AVE S
124TH AVE NE & NE 124TH ST
51ST AVE S & BEACON AVE S
228TH AVE SE & SE 4TH ST
SR 520 & NE 40TH ST
VASHON HWY SW & SW 204TH ST
119TH AVE SE & COAL CREEK PKWY SE
W MEEKER ST & FRAGER RD
NW MAPLE ST & 12TH AVE NW
SAND PT WAY NE & PRINCETON AVE NE
N 145TH ST & INTERLAKE AVE N
112TH AVE SE & SE 316TH PL
W MERCER WAY & 86TH AVE SE
LK WASHINGTON BLVD N & NE 52ND ST
NE 185TH ST & 168TH AVE NE
51ST AVE S & S 160TH ST
E THOMAS ST & 16TH AVE E
KIRKLAND AVE SE & SE 19TH CT
MERIDIAN AVE N & N 159TH ST
NE 85TH ST & 154TH AVE NE
NE 124TH ST & WILLOWS RD NE
NE 4TH ST & INDEX PL NE
NE 144TH ST & 126TH AVE NE
26TH AVE SW & SW 323RD ST
116TH AVE SE & SE 320TH ST
100TH AVE NE & NE 10TH ST
16TH AVE SW & SW 110TH ST
132ND AVE NE & NE 104TH ST
156TH AVE NE & NE 8TH ST
34TH AVE W & W DRAVUS ST
108TH AVE SE & SE 208TH ST
140TH AVE SE & SE 1ST ST
NE 141ST ST & 83RD PL NE
RENTON AVE S & S HENDERSON ST
Burien TC AcRd & SW 148th St
MADISON ST & 5TH AVE
SE 51ST ST & 220TH AVE SE
OLIVE WAY & 6TH AVE
S 176TH ST & 30TH AVE S
8TH AVE S & S 189TH ST
MADRONA PARK & LK WASHINGTON BLVD
ROOSEVELT WAY NE & NE 85TH ST
SE HIGH PT WAY & SE 84TH ST
NE NORTHGATE WAY & 23RD AVE NE
WILLOWS RD NE & NE 91ST ST
15TH AVE NE & NE 65TH ST
132ND AVE SE & SE 253RD PL
DELRIDGE WAY SW & CROFT PL SW
MERIDIAN AVE N & N 130TH ST
NE 45TH ST & 42ND AVE NE
NE 90TH ST & 160TH AVE NE
4TH AVE S & S HANFORD ST
15TH AVE NE & NE 145TH ST
LKVIEW DR NE & LK WASHINGTON BLVD N
SE 60TH ST & 123RD AVE SE
LK YOUNGS WAY SE & ROYAL HILLS DR SE
BOYLSTON AVE E & E ROANOKE ST
DEXTER AVE N & MERCER ST
NE 8TH ST & 98TH AVE NE
5TH AVE NE & NE 45TH ST
154TH AVE NE & NE 85TH ST
PACIFIC HWY S & S 224TH ST
SE 179TH ST & 159TH AVE SE
BEACON AVE S & S WEBSTER ST
8TH AVE NW & NW 65TH ST
LAKEMONT BLVD SE & 171ST AVE SE
14TH AVE NW & NW 103RD ST
15TH AVE NE & NE 70TH ST
SW ADMIRAL WAY & 60TH AVE SW
NE 65TH ST & 30TH AVE NE
45TH AVE NE & 45TH ST NE
CALIFORNIA AVE SW & SW AUSTIN ST
SNOQUALMIE PKWY & SWENSON DR SE
ROOSEVELT WAY NE & 5TH AVE NE
ANDOVER PARK W & STRANDER BLVD
NE 40TH ST & 156TH AVE NE
NE OLD REDMOND RD & 148TH AVE NE
ISLAND CREST WAY & 86TH AVE SE
8TH AVE NW & NW 197TH ST
S HENDERSON ST & RENTON AVE S
EASTLAKE AVE E & E HAMLIN ST
RENTON AVE S & 76TH AVE S
SE 24TH ST & 158TH AVE SE
W SMITH ST & 6TH AVE N
MARINE VIEW DR S & S 230TH ST
3RD AVE & VINE ST
NE 36TH ST & NE 36TH WAY
1ST AVE S & SW 146TH ST
S 3RD ST & SHATTUCK AVE S
SE 68TH ST & ISLAND CREST WAY
26TH AVE SW & 27TH AVE SW
FedWay/S 320th St P& & 25th Ave S
RAINIER AVE S & HAYES PL SW
5TH AVE NE & NE 98TH ST
25TH AVE NE & NE 65TH ST
NICKERSON ST & 3RD AVE N
DELRIDGE WAY SW & SW EDMUNDS ST
1ST AVE S & S SPOKANE ST
118TH AVE SE & MERCER SLGH BLDG
BEACON AVE S & S COLUMBIAN WAY
1ST AVE S & S 202ND ST
SE 208TH ST & 101ST AVE SE
SE 144TH ST & 164TH AVE SE
F ST SE & CEDAR DR
AURORA AVE N & N 198TH ST
CARLETON AVE S & S WILLOW ST
20TH AVE NE & NE 143RD ST
MILITARY RD S & S 259TH PL
63RD AVE SW & SW HINDS ST
4TH AVE S & S ROYAL BROUGHAM WAY
NE 155TH ST & 75TH AVE NE
PHINNEY AVE N & N 43RD ST
S 348TH ST & PACIFIC HWY S
MARTIN L KING JR WAY & S DAWSON ST
HIGHLAND PK WAY SW & SW HOLDEN ST
59TH AVE S & S 118TH ST
INTERURBAN AVE S & 48TH AVE S
3RD AVE NW & NW 143RD ST
1ST AVE N & DENNY WAY
Convention Place AcR & Transit Tunnel AcRd
SW ADMIRAL WAY & SW WAITE ST
SE 24TH ST & 76TH AVE SE
RAINIER AVE S & S HOLLY ST
SW 356TH ST & 21ST AVE SW
140TH AVE NE & NE 48TH PL
S 223RD ST & 24TH AVE S
MARKET ST & 18TH AVE
68TH AVE NE & NE 187TH ST
132ND AVE NE & NE 109TH PL
FRONT ST S & 600 BLOCK
RICHARDS RD & SE 26TH ST
AVONDALE RD NE & NE 172ND ST
CALIFORNIA AVE SW & SW COLLEGE ST
N 128TH ST & MERIDIAN AVE N
NE WOODINVILLE DUVAL & NE 172ND ST
HARBOR AVE SW & FAUNTLEROY AVE SW
NE 29TH PL & 148TH AVE NE
35TH AVE SW & SW ELMGROVE ST
SAND PT WAY NE & NE 50TH ST
228TH AVE SE & ISSAQUAH PINE LK RD 
RENTON MAPLE VALL RD & UNNAMED
37TH ST SE & M ST SE
DEXTER AVE N & ALOHA ST
RENTON AVE S & S FOUNTAIN ST
130TH AVE NE & NE 32ND ST
19TH AVE E & E MCGRAW ST
E YESLER WAY & 12TH AVE S
SE 256TH ST & KENT KANGLEY RD
35TH AVE NE & 34TH AVE NE
32ND AVE NW & NW 58TH ST
11TH AVE NE & NE 52ND ST
NE RAVENNA BLVD & NE 68TH ST
NW 36TH ST & 1ST AVE NW
PIKE ST & 4TH AVE
5TH AVE NE & NE 152ND ST
MERIDIAN AVE N & N 46TH ST
SE NEWPORT WAY & 156TH AVE SE
AIRPT WAY S & S STACY ST
48TH AVE SW & SW JUNEAU ST
MARKET ST & 20TH AVE W
124TH AVE NE & NE 85TH ST
MARTIN L KING JR WAY & E ALDER ST
35TH AVE NE & NE 192ND PL
8TH AVE NW & NW 200TH ST
SR 520 & YARROW PT
McCollum P&R AcRd & SR 96
SAND PT WAY NE & NE 62ND ST
GLENN WAY SW & 46TH AVE SW
RAINIER AVE S & S BAYVIEW ST
E PINE ST & SUMMIT AVE
SW 7TH ST & HARDIE AVE SW
NE 65TH ST & 39TH AVE NE
NE 75TH ST & 42ND AVE NE
SW ROXBURY ST & 8TH AVE SW
124TH AVE NE & NE 149TH ST
NE BOTHELL WAY & 61ST AVE NE
NE 40TH ST & 1ST AVE NE
2ND AVE & LENORA ST
NE 125TH ST & 33RD AVE NE
SE 34TH ST & 163RD PL SE
INTERNATIONAL SCH & 128TH AVE SE
RENTON AVE S & 57TH AVE S
NE 1ST ST & LK WASHINGTON BLVD N
BROADWAY E & E MERCER ST
PUGET DR SE & SE 19TH ST
S 212TH ST & 72ND AVE S
116TH AVE SE & SE 229TH ST
RAINIER AVE S & S WALDEN ST
SYLVAN WAY SW & SW HOLLY ST
180TH AVE SE & SE 266TH PL
3RD ST & 10TH AVE
12TH AVE NW & LAKE DR
23RD AVE & E OLIVE ST
DUVALL AVE NE & NE 23RD ST
132ND AVE NE & NE 54TH PL
SE 256TH ST & 116TH AVE SE
SW 160TH ST & 8TH AVE SW
SE ROYAL HILLS DR & HARADER DR SE
1ST AVE S & S 176TH ST
Broad St & 2nd Ave
26TH AVE SW & SW 320TH ST
ROOSEVELT WAY NE & NE 50TH ST
35TH AVE NE & NE 95TH ST
NE 80TH ST & 5TH AVE NE
MERIDIAN AVE N & N 180TH ST
S MCCLELLAN ST & S MOUNT BAKER BLVD
STONE WAY N & N 40TH ST
E MADISON ST & 29TH AVE E
2ND AVE N & GARFIELD ST
NE 65TH ST & 31ST AVE NE
S OTHELLO ST & RAINIER AVE S
BALLINGER WAY NE & 40TH AVE NE
1ST AVE S & SW 168TH ST
N 80TH ST & CORLISS AVE N
SW ALASKA ST & FAUNTLEROY WAY SW
124TH AVE NE & NE 112TH PL
E VALLEY HWY & S 187TH ST
BOEING PERIMETER RD & GATE E-80
116TH AVE NE & NE 2ND PL
SOUTHCENTER BLVD & 52ND AVE S
N 40TH ST & EASTERN AVE N
140TH AVE NE & NE 175TH ST
NE 12TH ST & 110TH AVE NE
F ST SE & 21ST ST SE
15TH AVE NE & NE 160TH ST
5TH AVE NE & NE 123RD ST
GREENWOOD AVE N & N 78TH ST
E YESLER WAY & 30TH AVE S
42ND AVE S & S 148TH ST
DAYTON AVE N & N 155TH ST
LK WASHINGTON BLVD N & NE 43RD ST
21ST AVE SW & SW 152ND ST
RENTON MAPLE VALL RD & 19600 BLOCK
51ST AVE S & S RYAN ST
5TH AVE NE & NE 133RD ST P&R
RENTON AVE S & 78TH AVE S
E OLIVE WAY & SUMMIT AVE E
NE 24TH ST & 156TH AVE NE
NE 145TH ST & 1ST AVE NE
112TH AVE NE & NE 22ND ST
132ND AVE NE & NE 136TH PL
14TH AVE S & S HILL ST
SEWARD PK AVE S & OAKHURST RD S
ROOSEVELT WAY NE & NE 105TH ST
SW 16TH ST & OAKESDALE AVE SW
NE 65TH ST & 18TH AVE NE
1ST AVE S & S LANDER ST
SE 256TH ST & 128TH AVE SE
GRIFFIN AVE & WELLS ST
169TH AVE SE & SE 138TH ST
Bear Creek P&R AcRd & 178th Pl NE
24TH AVE NW & NW 77TH ST
39TH AVE S & S CAMBRIDGE ST
ISLAND CREST WAY & SE 46TH ST
WOODLAWN AVE NE & NE RAVENNA BLVD
N 143RD ST & LINDEN AVE N
MARKET ST & 5TH AVE W
MAIN ST & 106TH AVE SE
SE 34TH ST & 166TH PL SE
TALBOT RD S & S 37TH ST
32ND AVE NW & NW 67TH ST
CALIFORNIA AVE SW & SW GENESEE ST
128TH AVE SE & MAIN ST
WESTMINSTER WAY N & N 148TH ST
S 144TH ST & PACIFIC HWY S
SE 316TH ST & 124TH AVE SE
UNION AVE NE & NE 1ST PL
148TH AVE NE & NE REDMOND WAY
SE 262ND PL & 180TH AVE SE
SE 128TH ST & 172ND AVE SE
BROADWAY & E MADISON ST
SW GENESEE ST & 49TH AVE SW
BALLINGER WAY NE & NE 190TH ST
BOSTON ST & 4TH AVE N
MONTLAKE BLVD NE & NE PACIFIC PL
GREENWOOD AVE N & N 125TH ST
S 240TH ST & 17TH AVE S
DAYTON AVE N & N 185TH ST
NE 8TH ST & 92ND AVE NE
SW 160TH ST & 12TH AVE SW
NE 116TH ST & 110TH AVE NE
INTERNATIONAL BLVD & S 160TH ST
15TH AVE E & E ALOHA ST
SW 108TH ST & 4TH AVE SW
NOB HILL AVE N & GALER ST
166TH AVE NE & NE 83RD ST
I-5 & NE 45TH ST
S 180TH ST & ANDOVER PARK W
W MERCER WAY & 4200 BLOCK
SE WAX RD & SE 272ND ST
KIRKWOOD PL N & N 59TH ST
